,bbox_list
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,"[[8, 0, 18, 5], [24, 0, 25, 1], [247, 26, 256, 42], [180, 46, 200, 64], [211, 50, 233, 69], [231, 57, 236, 62], [222, 72, 248, 94], [182, 77, 201, 98], [204, 77, 217, 93], [212, 99, 221, 109], [229, 99, 248, 112], [205, 122, 238, 156], [240, 124, 256, 143], [164, 141, 184, 164], [224, 147, 229, 152], [59, 153, 81, 176], [220, 156, 225, 161], [18, 165, 41, 190], [208, 167, 242, 196], [0, 188, 8, 206], [27, 227, 48, 248], [158, 228, 185, 250], [0, 229, 15, 250]]"
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,"[[164, 0, 176, 10], [130, 14, 141, 29], [166, 14, 179, 30], [204, 15, 215, 30], [0, 25, 6, 38], [99, 29, 111, 45], [204, 35, 217, 51], [66, 37, 87, 53], [21, 43, 33, 56], [53, 55, 79, 75], [0, 64, 4, 75], [147, 66, 158, 81], [66, 74, 78, 89], [89, 77, 103, 93], [120, 81, 132, 98], [32, 85, 46, 99], [5, 98, 17, 110], [51, 106, 65, 121], [224, 108, 239, 120], [27, 110, 39, 121], [6, 127, 19, 142], [65, 135, 77, 145], [113, 136, 137, 152], [220, 141, 232, 154], [45, 160, 59, 170], [162, 160, 176, 173], [178, 168, 193, 182], [8, 176, 19, 190], [206, 187, 219, 203], [111, 191, 123, 207], [57, 212, 73, 224], [134, 217, 148, 230], [170, 221, 185, 236], [186, 244, 199, 256]]"
00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,"[[0, 0, 6, 12], [136, 0, 162, 11], [233, 0, 255, 11], [176, 6, 193, 27], [0, 15, 10, 42], [122, 21, 152, 54], [32, 22, 124, 63], [0, 46, 12, 71], [180, 54, 201, 74], [120, 63, 152, 90], [87, 65, 115, 87], [233, 65, 254, 89], [162, 66, 238, 118], [187, 92, 256, 150], [54, 97, 144, 154], [147, 108, 168, 125], [0, 115, 56, 158], [125, 126, 142, 144], [142, 129, 182, 175], [98, 135, 121, 156], [242, 141, 256, 158], [90, 157, 116, 180], [182, 161, 211, 183], [213, 165, 248, 189], [0, 170, 14, 220], [14, 173, 44, 215], [91, 183, 111, 197], [62, 184, 86, 206], [117, 185, 174, 249], [206, 203, 228, 231], [79, 206, 113, 228], [38, 209, 70, 234], [243, 229, 256, 239], [209, 234, 234, 262], [58, 236, 120, 274], [0, 238, 67, 299], [122, 246, 155, 271], [237, 272, 256, 316], [120, 279, 159, 317], [155, 310, 183, 320]]"
0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,"[[46, 0, 66, 10], [101, 0, 138, 12], [172, 0, 184, 3], [210, 0, 243, 15], [4, 3, 31, 35], [132, 17, 156, 41], [71, 21, 86, 36], [187, 24, 213, 42], [172, 25, 179, 32], [97, 28, 118, 45], [251, 30, 256, 40], [221, 37, 240, 51], [95, 51, 106, 68], [0, 55, 24, 86], [40, 69, 59, 91], [238, 77, 256, 99], [127, 83, 153, 108], [158, 119, 182, 144], [0, 122, 3, 135], [44, 129, 51, 136], [20, 132, 34, 143], [118, 145, 125, 154], [17, 147, 32, 160], [202, 154, 226, 179], [50, 159, 93, 233], [108, 159, 125, 182], [28, 163, 52, 179], [140, 169, 162, 198], [249, 173, 256, 181], [5, 178, 36, 210], [185, 180, 196, 190], [238, 189, 250, 194], [38, 190, 43, 195], [168, 199, 179, 209], [210, 201, 228, 216], [186, 205, 192, 213], [253, 207, 256, 225], [36, 208, 43, 214], [93, 209, 112, 229], [28, 212, 35, 219], [239, 227, 251, 235], [52, 234, 63, 242], [83, 235, 103, 252], [240, 236, 256, 254], [117, 241, 136, 265], [191, 241, 219, 262], [48, 243, 55, 251], [142, 243, 165, 270], [22, 253, 42, 277], [52, 257, 74, 281], [79, 261, 113, 286], [168, 261, 210, 292], [139, 274, 163, 306], [223, 276, 242, 283], [221, 284, 240, 293], [18, 286, 27, 294], [56, 292, 69, 303], [202, 295, 217, 313], [28, 297, 48, 317], [236, 300, 256, 320], [11, 308, 24, 320], [110, 310, 135, 320], [176, 313, 199, 320], [146, 317, 162, 320]]"
01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,"[[95, 0, 128, 41], [179, 20, 232, 46], [234, 58, 256, 142], [208, 96, 240, 165], [79, 99, 106, 131], [226, 211, 256, 259]]"
0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,"[[70, 18, 93, 39], [71, 41, 92, 59], [86, 80, 101, 95], [128, 101, 143, 112], [90, 107, 108, 127], [120, 115, 133, 131], [181, 136, 201, 158], [113, 142, 136, 162], [100, 145, 106, 151], [104, 162, 109, 167], [115, 166, 130, 179], [57, 182, 75, 197], [92, 201, 108, 219], [101, 209, 121, 226], [181, 249, 202, 256]]"
0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426,"[[234, 6, 256, 27], [198, 15, 216, 38], [217, 15, 233, 31], [231, 45, 256, 76], [195, 66, 216, 86], [130, 80, 159, 107], [13, 83, 35, 103], [225, 85, 236, 96], [88, 88, 114, 112], [177, 93, 201, 115], [19, 105, 44, 126], [195, 111, 217, 133], [156, 120, 182, 141], [102, 131, 123, 152], [234, 133, 256, 150], [193, 139, 213, 162], [218, 147, 235, 164], [134, 150, 167, 173], [171, 152, 191, 171], [35, 165, 53, 180], [89, 167, 116, 206], [206, 167, 222, 185], [251, 167, 256, 179], [3, 168, 33, 194], [228, 168, 241, 180], [244, 169, 249, 174], [189, 171, 206, 194], [168, 173, 173, 178], [130, 180, 164, 208], [156, 180, 162, 186], [19, 186, 39, 207], [198, 187, 256, 230], [44, 189, 64, 209], [179, 191, 196, 211], [0, 204, 18, 240], [57, 208, 89, 243], [188, 213, 212, 237], [163, 214, 182, 245], [90, 222, 117, 241], [15, 225, 56, 247], [140, 228, 156, 245], [237, 231, 256, 256], [202, 240, 225, 256], [128, 246, 144, 256], [3, 247, 22, 256], [35, 247, 57, 256], [181, 249, 195, 256], [82, 252, 93, 256]]"
02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339,"[[0, 0, 19, 22], [147, 0, 182, 1], [328, 0, 360, 36], [251, 13, 311, 51], [89, 15, 137, 67], [0, 27, 7, 49], [278, 48, 320, 78], [211, 60, 244, 115], [2, 89, 65, 138], [225, 105, 296, 151], [101, 117, 159, 165], [278, 118, 338, 173], [325, 143, 360, 178], [146, 146, 190, 195], [203, 159, 276, 215], [42, 177, 102, 219], [0, 191, 25, 243], [319, 244, 360, 288], [273, 254, 318, 307], [44, 271, 105, 320], [322, 289, 360, 360], [29, 344, 73, 360]]"
03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776,"[[145, 6, 157, 16], [11, 15, 21, 32], [0, 91, 16, 108], [0, 106, 5, 116], [237, 130, 248, 141], [199, 182, 211, 202], [213, 205, 226, 215], [233, 225, 244, 235], [252, 226, 256, 235], [160, 241, 170, 251], [0, 244, 5, 256], [144, 245, 160, 256]]"
03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe,"[[99, 0, 142, 18], [150, 0, 184, 24], [241, 0, 331, 52], [10, 21, 57, 78], [279, 52, 329, 118], [218, 70, 264, 134], [171, 90, 216, 138], [115, 126, 156, 178], [25, 128, 110, 202], [181, 135, 233, 182], [273, 177, 323, 244], [141, 191, 181, 245], [132, 192, 140, 200], [168, 201, 248, 303], [88, 203, 133, 260], [346, 265, 360, 297], [312, 296, 360, 332], [104, 311, 167, 349], [210, 351, 241, 360]]"
03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a,"[[28, 0, 94, 57], [136, 0, 189, 42], [259, 0, 332, 62], [109, 69, 150, 132], [186, 82, 233, 138], [33, 95, 95, 140], [219, 125, 259, 178], [351, 136, 360, 165], [134, 153, 216, 206], [71, 196, 137, 242], [315, 218, 360, 275], [191, 232, 258, 270], [33, 265, 99, 345], [307, 270, 360, 358], [225, 291, 288, 331], [92, 334, 146, 360], [342, 351, 360, 360]]"
0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd,"[[250, 0, 260, 9], [21, 27, 29, 34], [6, 34, 37, 67], [198, 43, 211, 52], [104, 55, 122, 68], [85, 64, 95, 79], [257, 65, 260, 81], [188, 75, 203, 89], [230, 76, 249, 94], [45, 80, 66, 94], [3, 89, 13, 101], [187, 91, 231, 104], [138, 93, 158, 101], [19, 95, 35, 113], [77, 96, 94, 112], [254, 97, 260, 110], [47, 100, 67, 120], [201, 107, 216, 123], [216, 112, 233, 124], [18, 114, 32, 129], [239, 114, 254, 131], [157, 117, 179, 134], [125, 121, 168, 156], [106, 126, 122, 140], [241, 140, 258, 152], [172, 142, 191, 157], [202, 143, 222, 156], [52, 149, 90, 181], [100, 154, 120, 175], [197, 157, 236, 185], [41, 160, 54, 173], [241, 168, 260, 221], [14, 181, 33, 196], [153, 184, 175, 199], [192, 187, 212, 202], [178, 190, 183, 195], [31, 192, 68, 218], [141, 201, 158, 214], [180, 202, 196, 220], [89, 203, 103, 223], [0, 205, 7, 220], [16, 205, 23, 213], [30, 215, 35, 220], [59, 218, 81, 239], [0, 225, 13, 238], [192, 226, 211, 245], [23, 230, 38, 242], [49, 234, 54, 239], [128, 234, 145, 250], [146, 235, 158, 242], [236, 241, 255, 259], [21, 247, 36, 256], [70, 248, 98, 284], [213, 252, 230, 273], [50, 253, 55, 259], [0, 256, 11, 272], [39, 260, 44, 266], [48, 261, 67, 274], [202, 264, 257, 323], [186, 267, 202, 283], [103, 273, 112, 282], [116, 280, 124, 288], [0, 282, 21, 299], [16, 287, 38, 324], [122, 288, 140, 310], [42, 289, 61, 306], [151, 297, 161, 307], [172, 304, 184, 315], [130, 306, 189, 340], [186, 307, 193, 315], [189, 315, 207, 331], [100, 316, 126, 338], [212, 335, 225, 347], [24, 340, 38, 347], [40, 343, 56, 347]]"
04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e,"[[57, 0, 69, 26], [119, 0, 130, 13], [202, 0, 211, 14], [234, 0, 253, 14], [177, 7, 187, 19], [81, 8, 92, 22], [146, 12, 158, 26], [19, 13, 30, 26], [205, 15, 215, 29], [223, 18, 234, 32], [27, 27, 39, 39], [168, 27, 200, 49], [233, 27, 243, 42], [8, 28, 22, 40], [208, 29, 223, 47], [103, 31, 118, 61], [123, 36, 133, 53], [144, 36, 159, 56], [163, 50, 173, 66], [12, 51, 27, 62], [72, 62, 90, 85], [207, 66, 219, 83], [0, 72, 4, 82], [131, 78, 141, 93], [163, 82, 173, 100], [251, 83, 256, 96], [187, 89, 203, 108], [224, 92, 235, 107], [1, 97, 14, 108], [89, 97, 100, 113], [32, 102, 57, 116], [155, 107, 168, 120], [225, 112, 237, 126], [70, 114, 82, 128], [183, 123, 204, 140], [209, 123, 226, 146], [141, 125, 151, 141], [0, 139, 4, 149], [155, 145, 168, 163], [216, 145, 241, 177], [49, 153, 65, 167], [33, 156, 47, 169], [124, 158, 134, 174], [109, 162, 120, 180], [142, 162, 155, 183], [0, 163, 16, 175], [166, 168, 179, 196], [62, 170, 74, 187], [74, 183, 88, 197], [3, 185, 20, 205], [122, 186, 133, 201], [196, 187, 208, 219], [98, 190, 116, 216], [55, 194, 72, 212], [179, 197, 192, 212], [232, 197, 245, 212], [246, 200, 256, 214], [78, 202, 92, 217], [151, 204, 161, 220], [45, 210, 62, 227], [72, 219, 85, 233], [205, 226, 216, 241], [5, 229, 18, 238], [19, 241, 33, 251], [130, 241, 142, 256], [169, 241, 180, 256], [243, 244, 253, 256], [144, 245, 156, 256], [94, 248, 106, 256], [30, 252, 43, 256]]"
05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13,"[[0, 9, 6, 27], [159, 10, 185, 29], [212, 30, 226, 52], [153, 37, 167, 53], [246, 58, 256, 83], [11, 70, 23, 102], [196, 75, 217, 94], [104, 85, 125, 99], [197, 97, 212, 109], [160, 99, 171, 115], [253, 109, 256, 122], [119, 116, 137, 133], [188, 117, 207, 132], [236, 138, 255, 161], [206, 140, 219, 156], [131, 146, 156, 167], [186, 158, 198, 175], [0, 170, 27, 193], [215, 189, 235, 207], [34, 205, 57, 231], [139, 217, 151, 231], [107, 218, 119, 232], [73, 242, 85, 256]]"
0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275,"[[0, 0, 18, 31], [118, 0, 159, 25], [209, 0, 268, 44], [309, 0, 360, 65], [31, 40, 99, 141], [234, 43, 289, 91], [175, 97, 223, 151], [0, 98, 17, 130], [294, 134, 351, 170], [50, 146, 103, 200], [108, 179, 175, 226], [326, 186, 360, 242], [0, 212, 23, 274], [241, 237, 309, 299], [209, 246, 230, 275], [92, 250, 185, 360], [38, 281, 90, 328], [263, 298, 277, 310], [23, 314, 33, 322], [195, 339, 249, 360], [29, 342, 64, 360]]"
05a8f65ebd0b30d3b210f30b4d640c847c2e710d0d135e0aeeaccbe1988e3b6e,"[[61, 5, 74, 16], [99, 9, 110, 18], [82, 20, 95, 34], [53, 21, 67, 30], [91, 26, 101, 36], [229, 27, 241, 38], [2, 32, 40, 63], [246, 35, 254, 44], [216, 45, 227, 54], [225, 57, 237, 68], [240, 64, 254, 80], [105, 69, 115, 80], [245, 83, 256, 93], [124, 86, 134, 94], [125, 109, 137, 119], [74, 120, 88, 131], [107, 123, 118, 135], [0, 149, 14, 162], [74, 150, 85, 162], [37, 151, 51, 163], [17, 192, 27, 204]]"
06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca,"[[238, 0, 256, 13], [222, 5, 236, 26], [200, 16, 216, 32], [124, 21, 134, 31], [0, 23, 32, 57], [169, 26, 185, 46], [216, 33, 235, 52], [239, 39, 256, 61], [146, 43, 165, 64], [127, 53, 139, 63], [0, 61, 24, 106], [210, 76, 227, 93], [245, 90, 256, 105], [47, 91, 54, 99], [17, 100, 38, 122], [19, 131, 35, 150], [14, 245, 33, 256]]"
06c779330d6d3447be21df2b9f05d1088f5b3b50dc48724fc130b1fd2896a68c,"[[0, 0, 47, 46], [67, 0, 132, 42], [166, 0, 208, 44], [250, 0, 317, 31], [326, 0, 360, 20], [324, 16, 360, 72], [227, 33, 303, 85], [0, 45, 25, 84], [144, 46, 195, 113], [292, 70, 351, 113], [223, 85, 277, 160], [322, 98, 360, 155], [78, 154, 127, 208], [0, 169, 28, 216], [180, 177, 246, 223], [339, 196, 360, 253], [156, 209, 229, 268], [90, 253, 160, 298], [301, 258, 360, 314], [0, 283, 12, 321], [244, 290, 306, 338], [26, 324, 78, 360], [202, 325, 266, 360]]"
072ff14c1d3245bf49ad6f1d4c71cdb18f1cb78a8e06fd2f53767e28f727cb81,"[[149, 67, 167, 84], [11, 95, 27, 111], [104, 120, 122, 137], [134, 121, 147, 137], [0, 137, 4, 143], [61, 152, 72, 168], [235, 220, 252, 241]]"
07761fa39f60dc37022dbbe8d8694595fd5b77ceb2af2a2724768c8e524d6770,"[[41, 0, 54, 11], [100, 0, 111, 10], [90, 12, 97, 20], [196, 191, 209, 203], [179, 192, 192, 202]]"
077f026f4ab0f0bcc0856644d99cbf639e443ec4f067d7b708bc6cecac609424,"[[194, 23, 207, 35], [117, 38, 135, 54], [64, 131, 76, 150], [126, 168, 140, 183], [93, 181, 105, 202], [167, 185, 181, 201]]"
